http://www.wikidata.org/entity/Q112977858,5180
http://www.wikidata.org/entity/Q113126434,25124
http://www.wikidata.org/entity/Q54,13
http://www.wikidata.org/entity/Q56,18
http://www.wikidata.org/entity/Q149,5608
http://www.wikidata.org/entity/Q62141,554
http://www.wikidata.org/entity/Q88870,1717
http://www.wikidata.org/entity/Q139274,369
http://www.wikidata.org/entity/Q154619,430
http://www.wikidata.org/entity/Q211531,1497
http://www.wikidata.org/entity/Q217668,5922
http://www.wikidata.org/entity/Q275167,17352
http://www.wikidata.org/entity/Q623852,3553
http://www.wikidata.org/entity/Q695677,7
http://www.wikidata.org/entity/Q703899,3901
http://www.wikidata.org/entity/Q799007,381
http://www.wikidata.org/entity/Q899627,85
http://www.wikidata.org/entity/Q899641,39594
http://www.wikidata.org/entity/Q927144,5
http://www.wikidata.org/entity/Q937633,244
http://www.wikidata.org/entity/Q937781,543
http://www.wikidata.org/entity/Q985802,631
http://www.wikidata.org/entity/Q1050827,15111
http://www.wikidata.org/entity/Q1071902,3419
http://www.wikidata.org/entity/Q1083090,47
http://www.wikidata.org/entity/Q1263513,2681
http://www.wikidata.org/entity/Q1275790,11625
http://www.wikidata.org/entity/Q1572966,5875
http://www.wikidata.org/entity/Q1602458,166
http://www.wikidata.org/entity/Q1634981,3664
http://www.wikidata.org/entity/Q2217720,23
http://www.wikidata.org/entity/Q2328161,15
http://www.wikidata.org/entity/Q2396344,70
http://www.wikidata.org/entity/Q3189077,615
http://www.wikidata.org/entity/Q3271851,3095
http://www.wikidata.org/entity/Q3312333,590
http://www.wikidata.org/entity/Q3476798,11717
http://www.wikidata.org/entity/Q3544030,1865
http://www.wikidata.org/entity/Q4139004,1894
http://www.wikidata.org/entity/Q4376519,1700
http://www.wikidata.org/entity/Q4738985,33097
http://www.wikidata.org/entity/Q4765220,2168
http://www.wikidata.org/entity/Q5053996,990
http://www.wikidata.org/entity/Q5066149,9466
http://www.wikidata.org/entity/Q5182417,667
http://www.wikidata.org/entity/Q5230628,68
http://www.wikidata.org/entity/Q5305757,19
